"_alternate_title","_api_name","_cover_image","_dir","_director","_episode_count","_episode_length","_finished_airing","_genres","_rating_1","_rating_2","_reponse","_show_type","_started_airing","_status","_synopsis","_title","_type","_url","_votes","_year"
"Ginga Eiyuu Densetsu","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/727/large/mwnfeu.jpg?1437754115","Legend Galactic Heroes","","110","26","1997-03-17","[{'name': 'Drama'}, {'name': 'Sci-Fi'}, {'name': 'Space'}, {'name': 'Military'}]","4.35261041317499","","","OVA","1988-01-08","Finished Airing","For decades, the Galactic Empire has been locked in an interstellar war with the Free Planets Alliance, a conflict that involves thousands of spaceships and millions of soldiers on both sides. Two new commanders enter the conflict with great hopes: Imperial Admiral Reinhard von Lohengramm and the FPA's Yang Wen-Li. As they deal with superiors and subordinates, maneuver through complicated political arrangements, plot strategies, and win battles, each will be tested, and ultimately, changed, by the reality of war.

(Source: ANN)","Legend of the Galactic Heroes","anime","https://hummingbird.me/anime/ginga-eiyuu-densetsu","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/007/880/large/1d4eafb3859fa822d0b689621e60d83e1375240289_full.jpg?1418914006","Liar Game","","12","24","2014-06-25","[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Supernatural'}, {'name': 'Fantasy'}, {'name': 'Ecchi'}, {'name': 'Game'}]","4.24910205678865","","","TV","2014-04-09","Finished Airing","The story of No Game, No Life centers around Sora and Shiro, a brother and sister whose reputations as brilliant NEET (Not in Education, Employment, or Training) hikikomori (shut-in) gamers have spawned urban legends all over the Internet. These two gamers even consider the real world as just another ""crappy game."" One day, they are summoned by a boy named ""God"" to an alternate world. There, God has prohibited war and declared this to be a world where ""everything is decided by games""—even national borders. Humanity has been driven back into one remaining city by the other races. Will Sora and Shiro, the good-for-nothing brother and sister, become the ""Saviors of Humanity"" on this alternate world? ""Well, let's start playing.""

(Source: ANN)","No Game No Life","anime","https://hummingbird.me/anime/no-game-no-life","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/007/704/large/uEH0Cke.jpg?1418914072","Little Busters! Refrain","","13","24","2013-12-28","[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Supernatural'}, {'name': 'Romance'}, {'name': 'Slice of Life'}, {'name': 'School'}]","4.11404993083758","","","TV","2013-10-05","Finished Airing","Riki and his friends have been managing to form a complete team for the Little Busters baseball team and after overcoming some of its new members' internal conflicts, Riki and Rin slowly approaches the ""secret of this world"".
Will they be ready for the truth? In this world devoid of logic, something has started to move and soon will come the time when the lives of the Little Busters will change forever.
(Source: Koi-nya, edited)","Little Busters!: Refrain","anime","https://hummingbird.me/anime/little-busters-refrain","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/007/622/large/b0012149_5229cf3c7f4ee.jpg?1416322756","Log Horizon","","25","25","2014-03-22","[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Magic'}, {'name': 'Fantasy'}, {'name': 'Game'}]","4.16200327212932","","","TV","2013-10-05","Finished Airing","The story begins when 30,000 Japanese gamers are trapped in the fantasy online game world Elder Tale. What was once a sword-and-sorcery world is now the real world. The main lead Shiroe attempts to survive with his old friend Naotsugu and the beautiful assassin Akatsuki.
(Source: ANN)","Log Horizon","anime","https://hummingbird.me/anime/log-horizon","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/001/833/large/W9hfmam.jpg?1416245413","Lovely Complex","","24","24","2007-09-29","[{'name': 'Comedy'}, {'name': 'Romance'}]","4.01717509853419","","","TV","2007-04-07","Finished Airing","Risa and Otani are always being laughed at as the comedy duo. Risa, a girl, is taller than the average girl, and Otani, a boy, is shorter than the average boy. The two are always bickering and even their teacher sees them as a comedy act. But as their friendship develops, so do Risa's feelings toward Otani.
(Source: AniDB)","LovelyâComplex","anime","https://hummingbird.me/anime/lovely-complex","",""
"Unbreakable Machine-Doll","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/007/617/large/quizoxy-wordpress-com-unbreakable-machine-doll-wallpaper-2.jpg?1408461902","Machine Doll wa Kizutsukanai","","12","23","2013-12-23","[{'name': 'Action'}, {'name': 'Fantasy'}, {'name': 'School'}, {'name': 'Ecchi'}]","3.59483434635483","","","TV","2013-10-07","Finished Airing","During the early 20th century, along with technological advancements, scientists were able to develop sophisticated magic. The combination of science and sorcery was Makinot, circuits made from spells that were put into objects to bring them to life and even gain a personality. It was developed as a military weapon and has now spread throughout the world.

Akabane Raishin is now attending the Royal Academy to become the best in the world. Accompanied by the lovely teenage girl Yaya, who is actually Raishinâs puppet weapon, he plans on rocketing to the top of the class. However, his test scores come nearly dead last although his combat skills and determination are second to none. Raishin has to compete with the deadliest of classmates if he wants to come out as the king.

(Source: Moetron)","Kikou Shoujo wa Kizutsukanai","anime","https://hummingbird.me/anime/unbreakable-machine-doll","",""
"None","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/003/113/large/latest.jpg?1440957194","Macross Frontier","","25","24","2008-09-26","[{'name': 'Action'}, {'name': 'Sci-Fi'}, {'name': 'Romance'}, {'name': 'Military'}, {'name': 'Mecha'}, {'name': 'Music'}]","4.00523595904421","","","TV","2008-04-04","Finished Airing","After being threatened by extinction at the hands of alien invaders called the Zentradi, humanity undertook the task of guaranteeing itself a future by launching fleets of colony ships into space. On Macross Frontier, one such fleet, high school student Saotome Alto's life is changed forever: the fleet is suddenly attacked by unidentified creatures while he is performing aerial stunts for a concert by the wildly popular idol Sheryl.

Alto quickly finds himself in the cockpit of a new-model fighter struggling to protect Ranka Lee, a young girl he met only hours earlier, from the invaders' swath of destruction. Noting his performance during this incident, the S.M.S. Skull Squadron private military company invites Alto to join their organization, where he continues protecting his friends and Macross Frontier.

(Source: Anime-Planet)","Macross Frontier","anime","https://hummingbird.me/anime/macross-frontier","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/532/large/532.jpg?1408441697","Magi","","13","24","2006-04-01","[{'name': 'Comedy'}, {'name': 'Magic'}, {'name': 'Fantasy'}, {'name': 'Romance'}, {'name': 'Harem'}]","3.20748704965866","","","TV","2006-01-01","Finished Airing","Ayumi Mamiya is a witch cursed to lose her powers and only one boy can break the spell. Haruo Yoshikawa thinks he is a normal boy but unknown to him his three sisters have magical powers and keep him protected and ignorant about the exsistence of magic. Now Ayumi must wake up Haruo's latent powers to save herself but his sisters will have none of that. 
(Source: ANN)","Magikano","anime","https://hummingbird.me/anime/magikano","",""
"Puella Magi Madoka Magica","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/005/853/large/mahou.jpg?1409433346","Mahou Shoujo Madoka Magica","","12","24","2011-04-22","[{'name': 'Drama'}, {'name': 'Magic'}, {'name': 'Psychological'}, {'name': 'Thriller'}, {'name': 'Mahou Shoujo'}]","4.3398680440756","","","TV","2011-01-07","Finished Airing","She has a loving family and best friends, laughs and cries from time to time... Madoka Kaname, an eighth grader of Mitakihara middle school, is one of those who lives such a life. One day, she had a very magical encounter. She doesn't know if it happened by chance or by fate yet. This is a fateful encounter that can change her destiny—this is a beginning of the new story of the magical girls.

(Source: Aniplex of America)","Mahou Shoujo Madoka★Magica","anime","https://hummingbird.me/anime/mahou-shoujo-madoka-magica","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/008/341/large/60355.jpg?1408464202","Mahouka Koukou no Rettousei","","6","3","2014-09-13","[{'name': 'Comedy'}, {'name': 'Magic'}]","3.17057098603704","","","Special","2014-02-22","Finished Airing","Special introduction videos posted on the official website.","Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka","anime","https://hummingbird.me/anime/mahouka-koukou-no-rettousei-yoku-wakaru-mahouka","",""
